scenario,planner,replans,total_expanded,total_millis,steps_walked,travel_minutes,arrived
control_no_change,naive_astar,1,42,0.133,14,17.91,True
control_no_change,dstar_lite,1,44,0.476,14,17.91,True
block_near_start,naive_astar,2,82,0.241,16,26.09,True
block_near_start,dstar_lite,2,53,0.576,16,26.09,True
block_mid_route,naive_astar,2,74,0.223,16,20.22,True
block_mid_route,dstar_lite,2,48,0.537,16,20.22,True
block_near_goal,naive_astar,2,47,0.131,14,19.62,True
block_near_goal,dstar_lite,2,47,0.491,14,19.62,True
multiple_changes,naive_astar,4,128,0.351,13,27.43,True
multiple_changes,dstar_lite,4,64,0.729,13,27.43,True
crowd_spike,naive_astar,2,38,0.116,7,11.27,True
crowd_spike,dstar_lite,2,39,0.516,7,11.27,True
